first_name,last_name,last_contacted,company,salutation,email
Alice,Smith,2023-10-20,ABC Corp,Mrs.,emails_test@yopmail.com
Bob,Johnson,2023-10-18,XYZ Ltd,Mr.,emails_test2@yopmail.com
Eva,Williams,2023-10-15,123 Industries,Miss,emails_test3@yopmail.com
David,Miller,2023-10-19,Global Solutions,Mr.,emails_test4@yopmail.com
Grace,Anderson,2023-10-21,Tech Innovators,Miss,emails_test5@yopmail.com
James,Brown,2023-10-17,Quick Services,Mr.,emails_test6@yopmail.com
Sophia,Clark,2023-10-16,Data Systems,Mrs.,emails_test7@yopmail.com
Michael,Davis,2023-10-22,Innovate Co.,Mr.,emails_test8@yopmail.com
Olivia,Jones,2023-10-14,Future Trends,Miss,emails_test9@yopmail.com
Daniel,White,2023-10-23,Smart Ventures,Mr.,emails_test10@yopmail.com
